Complaint ID,Consumer disputed?
675956,1
1858795,0
32637,1
1731374,0
501487,1
631565,1
1283963,1
1902970,0
1160691,0
359929,1
1556011,0
1296392,1
1726159,0
709197,1
1938442,1
1820696,1
404613,0
461579,0
1804301,1
991776,0
905800,1
1084080,0
186053,0
315404,0
200409,1
204816,1
432696,0
1787512,1
25867,1
679290,0
1572807,0
2021841,1
1223765,1
557857,0
894554,1
1086572,1
1512640,1
1059209,1
921043,0
455731,0
2001099,0
778105,0
464764,1
1626654,1
243672,1
823986,0
704162,1
153325,1
1007831,0
1837953,1
1787807,1
694132,1
1730350,1
154325,1
1450016,0
1632506,1
1093824,0
241434,0
289879,1
38706,0
370223,0
29853,1
1106182,1
1743290,1
1462125,0
1559117,0
1608474,0
119057,1
1398598,1
427117,1
8840,0
779982,1
111824,0
1453911,1
163892,1
321501,1
1603324,1
1812269,1
1485298,0
249447,1
112748,0
1295307,0
1876423,0
38741,0
291555,0
2005040,0
1397786,0
1520904,1
171111,1
1860671,0
1539530,1
1974710,1
1355221,0
970702,1
210254,1
928013,1
1170722,0
1790456,1
1591791,0
1277580,0
636744,0
44190,0
1440236,1
1221171,1
1250490,1
620004,1
341054,1
1117672,0
674358,1
1027174,0
114554,1
1097394,0
541329,0
1741537,1
743931,1
1910921,1
374325,0
654934,0
169933,0
148586,0
1285550,1
137145,0
899531,0
316133,1
1059970,1
1577321,0
957671,0
851199,0
1955836,1
1441974,0
988775,1
1113436,0
1203987,0
1735151,1
1083991,1
1466819,0
1083262,0
55602,0
1547258,0
759923,0
516498,1
1934265,0
912221,1
1780090,0
1262988,1
1670730,1
1651134,1
811758,1
681617,1
1704029,1
911345,1
125199,1
1600689,1
288323,0
775941,1
1492909,0
1476497,0
30966,1
587431,1
1630476,1
1974579,0
592825,1
1749433,1
2009840,0
120629,0
118070,1
1429138,0
1332736,0
1941769,0
811471,0
1497155,1
1005051,0
891596,0
1993830,0
138333,0
228804,1
941029,0
1577465,0
1912489,0
502279,0
1893802,0
757823,1
1751922,0
1925095,1
1090801,0
682354,0
1603103,0
1388651,1
176854,1
84650,0
57449,0
1693267,0
58295,1
1706083,0
1391050,0
941981,1
1517849,0
1917422,0
1401337,1
891470,1
1471141,0
159689,1
142009,0
918092,0
221262,0
1398935,0
778386,1
1497222,0
601573,1
1211130,1
973774,0
123670,0
840438,0
1770024,0
542514,0
1544400,1
1958907,0
405035,0
395792,0
1185964,0
1426126,0
1676030,0
867525,1
167940,1
1996180,1
1566788,1
1865991,0
798171,0
226254,0
375815,1
775822,0
1459578,1
1718843,1
871275,1
969286,0
935170,0
1388394,0
1462476,1
941115,0
1570644,0
773380,0
1466934,0
108697,1
